Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date
The Assassination of Jesse James by the Coward Robert Ford,4512,Action,Plan B Entertainment,30000000,14711793,"Outlaw Jesse James is rumored to be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status.",2007-09-02
Ghost Rider,1250,Thriller,Crystal Sky Pictures,110000000,228738393,"In order to save his dying father, young stunt cyclist, Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted, Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",2007-02-16
Paranormal Activity,23827,Horror,Blumhouse Productions,15000,193355800,"After a young, middle class couple moves into a suburban 'starter' tract house, they become increasingly disturbed by a presence that may or may not be somehow demonic but is certainly most active in the middle of the night. Especially when they sleep. Or try to.",2007-09-14
Stardust,2270,Adventure,Paramount,70000000,135560026,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.",2007-08-09
Shooter,7485,Action,Grosvenor Park Impact Productions,61000000,95696996,"A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why.",2007-03-22
Juno,7326,Comedy,Mandate Pictures,7500000,231411584,"A young girl named Juno gets herself pregnant and tries to stand on her own, but soon learns a few lessons about being grown up.",2007-12-05
Into the Wild,5915,Adventure,River Road Entertainment,15000000,56255142,"The true story of top student and athlete, Christopher McCandless, who after graduating from Emory University in 1992, abandoned his possessions, gave his entire $24,000 savings account to charity and hitchhiked to Alaska to live in the wilderness.",2007-09-11
Knocked Up,4964,Comedy,Apatow Productions,30000000,219076518,"For fun loving party animal Ben Stone, the last thing he ever expected was for his one night stand to show up on his doorstep eight weeks later to tell him she's pregnant.",2007-06-01
Beowulf,2310,Adventure,Paramount Animation,70000000,195735876,"6th-century Scandinavian warrior, Beowulf embarks on a mission to slay the manlike ogre Grendel, a descendant of Cain.",2007-11-05
The Mist,5876,Horror,Darkwoods Productions,18000000,57096190,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.",2007-11-21
